"Date (UTC)","Loss","Jitter","Avg RTT","Min RTT","Max RTT"
"2017-09-10 02:01:44","0.0","3.460805","162.0","156.0","189.0"
"2017-09-10 02:05:13","0.0","18.90078","174.0","156.0","326.0"
"2017-09-10 02:10:14","0.0","2.784","163.0","158.0","173.0"
"2017-09-10 02:15:14","0.0","4.586404","164.0","157.0","191.0"
"2017-09-10 02:20:14","0.0","2.303999","162.0","157.0","176.0"
"2017-09-10 02:25:13","0.0","2.940804","162.0","157.0","179.0"
"2017-09-10 02:30:13","0.0","20.372786","173.0","156.0","347.0"
"2017-09-10 02:35:12","0.0","5.604795","165.0","157.0","234.0"
"2017-09-10 02:40:13","0.0","2.3664","162.0","158.0","169.0"
"2017-09-10 02:45:13","0.0","3.439202","164.0","158.0","189.0"
"2017-09-10 02:50:13","0.0","2.88","164.0","158.0","173.0"
"2017-09-10 02:55:14","0.0","3.377603","162.0","157.0","174.0"
"2017-09-10 03:00:13","0.0","14.833632","171.0","157.0","318.0"
"2017-09-10 03:05:12","0.0","2.786387","163.0","159.0","201.0"
"2017-09-10 03:10:13","0.0","14.888","172.0","158.0","275.0"
"2017-09-10 03:15:13","0.0","19.53198","174.0","158.0","357.0"
"2017-09-10 03:20:13","0.0","2.793603","163.0","158.0","172.0"
"2017-09-10 03:25:13","0.0","3.435203","163.0","158.0","180.0"
"2017-09-10 03:30:12","0.0","2.968004","162.0","157.0","171.0"
"2017-09-10 03:35:12","0.0","4.689604","164.0","157.0","184.0"
"2017-09-10 03:40:13","0.0","2.760801","163.0","158.0","171.0"
"2017-09-10 03:45:13","0.0","2.455998","163.0","159.0","175.0"
"2017-09-10 03:50:13","0.0","3.0064","164.0","158.0","179.0"
"2017-09-10 03:55:13","0.0","2.870401","162.0","157.0","172.0"
"2017-09-10 04:00:12","0.0","4.484795","165.0","156.0","188.0"
"2017-09-10 04:05:12","0.0","4.644804","164.0","156.0","192.0"
"2017-09-10 04:10:13","0.0","2.596799","162.0","157.0","179.0"
"2017-09-10 04:15:12","0.0","3.898401","163.0","156.0","186.0"
"2017-09-10 04:20:13","0.0","4.244009","163.0","156.0","194.0"
"2017-09-10 04:25:13","0.0","2.775999","161.0","157.0","169.0"
"2017-09-10 04:30:12","0.0","2.796012","162.0","156.0","173.0"
